name,time,price,rsi,sharpe,action
MRCY,2000/02/28,47.59,64.2722,0.264752,sell
DDD,2000/02/24,2.93667,43.3516,-0.158138,buy
DDD,2000/02/28,3.98,67.5731,0.160028,sell
TWI,2000/02/07,5.05174,44.4477,0.154059,buy
TWI,2000/02/29,5.37203,59.2106,0.00970146,sell
WMK,2000/02/16,20.7481,45.5492,0.058501,buy
WMK,2000/02/29,21.2813,55.8974,-0.0234599,sell
CLB,2000/02/11,7.86928,39.5771,-0.106513,buy
CLB,2000/02/29,8.68943,56.6348,0.0586778,sell
PXD,2000/02/09,7.76575,39.9152,-0.0558414,buy
PXD,2000/02/29,7.94544,52.0564,-0.0113948,sell
SCS,2000/02/24,5.19604,40.6471,-0.0178514,buy
SCS,2000/02/29,6.13213,63.2129,0.0872456,sell
ANIK,2000/02/22,7.75,49.6252,0.109539,buy
ANIK,2000/02/29,9.563,64.3247,0.275587,sell
AAPL,2000/02/01,3.11493,47.2915,-0.0753229,buy
AAPL,2000/03/01,4.04894,66.9563,0.323662,sell
WNC,2000/01/14,11.4334,32.6097,-0.101411,buy
WNC,2000/03/01,12.5855,55.9782,0.131204,sell
RES,2000/02/03,0.687909,47.6809,0.218778,buy
RES,2000/03/01,0.764462,58.7954,-0.0388218,sell
XRAY,2000/02/15,7.41194,48.7901,0.106384,buy
XRAY,2000/03/01,7.68899,57.1382,0.113606,sell
CDNS,2000/01/31,20.63,44.9208,-0.131137,buy
CDNS,2000/03/01,21.25,54.5918,-0.0061335,sell
FL,2000/01/07,4.29256,41.8498,-0.100708,buy
FL,2000/03/01,3.92944,52.2633,-0.0511387,sell
DHI,2000/02/16,1.79785,44.1744,0.00883877,buy
DHI,2000/03/01,1.85475,53.4081,0.111806,sell
HFC,2000/01/14,0.430764,46.5581,0.0591549,buy
HFC,2000/03/01,0.432688,53.0718,-0.0305401,sell
NWBI,2000/01/28,1.45192,38.9606,0.00723742,buy
NWBI,2000/03/01,1.65161,57.1778,0.160544,sell
VHI,2000/02/17,0.978066,49.9046,0.0427284,buy
VHI,2000/03/01,0.994673,58.6227,0.0420924,sell
AZZ,2000/02/22,2.10636,40.0034,-0.154846,buy
AZZ,2000/03/02,2.44321,64.0383,0.173854,sell
